                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0348,                0.67697,                 1.2149,                  1.171,                0.83499,                 1.2245,                0.87207,                0.80435,                0.88263,                0.60811,                 1.0416,                 0.5709,                 1.3196,                 1.0626,                0.58776,                 1.3107,             0.00061079,             0.00061079,             0.00061079
                     35,                0.95753,                0.64124,                 1.1679,                 1.0616,                0.76296,                 1.1667,                0.86116,                0.79669,                0.89515,                0.60451,                 1.0782,                0.56571,                 1.3293,                  1.103,                 0.5836,                 1.3249,             0.00057778,             0.00057778,             0.00057778
                     36,                0.97064,                0.61932,                 1.1766,                 1.0823,                0.73836,                 1.1844,                0.88349,                0.76361,                0.90466,                 0.6271,                 1.0161,                0.55298,                 1.3011,                 1.0373,                0.57489,                 1.2969,             0.00054478,             0.00054478,             0.00054478
                     37,                0.94619,                0.60926,                 1.1496,                 1.0501,                0.70038,                 1.1522,                0.89401,                0.78334,                0.90384,                0.63035,                 1.0259,                0.53224,                 1.3042,                 1.0455,                0.54251,                 1.2965,             0.00051177,             0.00051177,             0.00051177
                     38,                0.93524,                0.59377,                 1.1471,                 1.0205,                0.67508,                 1.1466,                 0.8597,                0.81781,                0.90561,                0.61335,                  1.053,                0.54767,                 1.3181,                 1.0799,                0.56398,                 1.3298,             0.00047876,             0.00047876,             0.00047876
                     39,                0.93077,                0.63052,                 1.1409,                 1.0196,                0.72483,                 1.1468,                 0.8887,                0.77563,                 0.8857,                0.59887,                 1.0688,                0.58075,                 1.3533,                 1.0598,                0.63181,                 1.3058,             0.00044576,             0.00044576,             0.00044576
                     40,                0.90974,                0.58958,                 1.1355,                0.98894,                0.66649,                 1.1407,                0.90866,                0.78822,                0.90807,                 0.6172,                 1.0694,                0.54202,                 1.3575,                 1.0771,                 0.5599,                 1.3332,             0.00041275,             0.00041275,             0.00041275
                     41,                 0.9148,                0.51623,                  1.192,                0.97361,                0.55147,                 1.1841,                 0.8695,                 0.8189,                0.89498,                0.59409,                 1.0776,                0.55713,                 1.3391,                 1.0969,                0.57534,                 1.3412,             0.00037974,             0.00037974,             0.00037974
                     42,                0.89999,                0.48863,                   1.17,                0.96709,                0.50716,                 1.1667,                0.88071,                0.80431,                0.90423,                0.61876,                 1.0439,                0.52997,                 1.3287,                  1.074,                0.54232,                 1.3329,             0.00034674,             0.00034674,             0.00034674
                     43,                0.87218,                 0.4703,                 1.1629,                0.91286,                0.48239,                 1.1557,                0.86946,                0.83825,                0.90271,                 0.6085,                 1.0583,                0.52744,                 1.3256,                 1.0769,                0.52474,                 1.3169,             0.00031373,             0.00031373,             0.00031373
                     44,                0.99364,                0.61812,                 1.3317,                0.93409,                0.48435,                 1.1869,                0.85591,                0.82838,                 0.9015,                0.61541,                 1.0546,                0.53677,                  1.322,                 1.0515,                0.55838,                 1.2916,             0.00028072,             0.00028072,             0.00028072
                     45,                0.88598,                0.46124,                 1.1799,                0.92234,                0.48321,                  1.171,                0.88699,                0.80652,                0.89556,                 0.6137,                 1.0395,                0.53954,                 1.3184,                 1.0447,                0.58452,                 1.2963,             0.00024772,             0.00024772,             0.00024772
                     46,                0.84498,                0.44531,                 1.1328,                0.88552,                0.46019,                 1.1276,                0.90301,                0.82543,                0.91863,                0.63112,                 1.0496,                0.50816,                  1.333,                 1.0617,                0.51814,                 1.3081,             0.00021471,             0.00021471,             0.00021471
                     47,                0.85199,                0.44325,                 1.1445,                0.87755,                0.44598,                 1.1335,                0.86489,                0.86347,                0.91385,                 0.6216,                 1.0528,                0.51325,                 1.3417,                 1.0637,                0.51356,                 1.3223,              0.0001817,              0.0001817,              0.0001817
                     48,                0.83309,                0.42852,                 1.1169,                0.88067,                0.44288,                 1.1142,                0.88109,                0.83514,                0.91878,                0.63026,                 1.0447,                0.51385,                 1.3299,                 1.0511,                0.54589,                 1.3052,              0.0001487,              0.0001487,              0.0001487
                     49,                0.80168,                0.42192,                 1.1008,                0.83992,                0.41853,                 1.0978,                0.91186,                0.81896,                0.91907,                0.63757,                 1.0281,                0.50517,                  1.321,                 1.0299,                0.51072,                 1.2918,             0.00011569,             0.00011569,             0.00011569
                     50,                0.78647,                0.39994,                  1.093,                0.84811,                0.42238,                 1.0931,                0.88111,                0.84757,                0.91715,                 0.6321,                 1.0367,                0.50349,                 1.3327,                 1.0403,                  0.522,                 1.3042,             8.2683e-05,             8.2683e-05,             8.2683e-05
